Site,LineID,X,Y,SF_Depth,XYdist,Width_Fish,Width_Invert,XYWarea_Fish,XYWarea_Invert,Substrate,Habitat_Fine,Brown.rockfish
AN1,101_1400,559163.5124,4104669.594,43.1,0.264481886,1.19,0.84,0.314733444,0.222164784,Soft,Mud,0
AN1,101_1400,559163.7145,4104669.421,43.2,0.265840427,1.275,0.9,0.338946544,0.239256384,Soft,Mud,0
AN1,101_1400,559163.9149,4104669.244,43.1,0.267609068,1.275,0.9,0.341201561,0.240848161,Soft,Mud,0
AN1,101_1400,559164.1133,4104669.061,43.1,0.269832739,1.19,0.84,0.321100959,0.2266595,Soft,Mud,0
AN1,101_1400,559164.3094,4104668.871,43,0.272563265,1.105,0.78,0.301182408,0.212599347,Soft,Mud,0
AN1,101_1400,559164.5029,4104668.675,43.1,0.275858174,1.105,0.78,0.304823282,0.215169376,Soft,Mud,0
AN1,101_1400,559164.6933,4104668.47,43,0.279779307,1.19,0.84,0.332937376,0.235014618,Soft,Mud,0
AN1,101_1400,559164.8805,4104668.256,43,0.284391276,1.36,0.96,0.386772135,0.273015625,Soft,Mud,0
AN1,101_1400,559165.0641,4104668.032,43.1,0.2897598,1.275,0.9,0.369443745,0.26078382,Soft,Mud,0
AN1,101_1400,559165.244,4104667.797,43.1,0.295421368,1.19,0.84,0.351551428,0.248153949,Soft,Mud,0
AN1,101_1400,559165.4203,4104667.553,43.1,0.301359464,1.19,0.84,0.358617762,0.25314195,Soft,Mud,0
AN1,101_1400,559165.5929,4104667.298,43.1,0.307558074,1.105,0.78,0.339851672,0.239895298,Soft,Mud,0
AN1,101_1400,559165.7619,4104667.034,43,0.314001767,1.02,0.72,0.320281802,0.226081272,Soft,Mud,0
AN1,101_1400,559165.9273,4104666.759,43,0.32067577,1.105,0.78,0.354346726,0.250127101,Soft,Mud,0
AN1,101_1400,559166.089,4104666.474,43,0.327566007,1.105,0.78,0.361960438,0.255501486,Soft,Mud,0
AN1,101_1400,559166.2472,4104666.179,43,0.334659122,1.105,0.78,0.36979833,0.261034115,Soft,Mud,0
AN1,101_1400,559166.4016,4104665.874,43.1,0.34194249,1.19,0.84,0.406911563,0.287231691,Soft,Mud,0
AN1,101_1400,559166.5525,4104665.559,42.9,0.349404213,1.36,0.96,0.475189729,0.335428044,Soft,Mud,0
AN1,101_1400,559166.6997,4104665.234,43,0.357033108,1.36,0.96,0.485565027,0.342751784,Soft,Mud,0
AN1,101_1400,559166.8436,4104664.899,43,0.364104697,1.105,0.78,0.40233569,0.284001664,Soft,Mud,0
AN1,101_1400,559166.9845,4104664.556,43,0.370573713,1.105,0.78,0.409483953,0.289047496,Soft,Mud,0
AN1,101_1400,559167.1228,4104664.206,43,0.376402843,1.19,0.84,0.447919383,0.316178388,Soft,Mud,0
AN1,101_1400,559167.2588,4104663.85,43,0.381561454,1.19,0.84,0.45405813,0.320511621,Soft,Mud,0
AN1,101_1400,559167.3927,4104663.488,42.9,0.386024567,1.105,0.78,0.426557146,0.301099162,Soft,Mud,0
AN1,101_1400,559167.5251,4104663.121,43.1,0.389772048,1.19,0.84,0.463828737,0.32740852,Soft,Mud,0
AN1,101_1400,559167.6561,4104662.751,43,0.392787978,1.105,0.78,0.434030716,0.306374623,Soft,Mud,0
AN1,101_1400,559167.7861,4104662.378,43.2,0.395060152,1.105,0.78,0.436541468,0.308146919,Soft,Mud,0
AN1,101_1400,559167.9155,4104662.003,43.2,0.396579722,1.105,0.78,0.438220593,0.309332183,Soft,Mud,0
AN1,101_1400,559168.0445,4104661.627,43.1,0.397340928,1.02,0.72,0.405287746,0.286085468,Soft,Mud,0
AN1,101_1400,559168.1735,4104661.254,43.1,0.39476633,1.19,0.84,0.469771933,0.331603718,Soft,Mud,0
AN1,101_1400,559168.3023,4104660.886,43.1,0.389622062,1.02,0.72,0.397414503,0.280527885,Soft,Mud,0
AN1,101_1400,559168.4308,4104660.527,43.1,0.381918467,1.02,0.72,0.389556837,0.274981296,Soft,Mud,0
AN1,101_1400,559168.559,4104660.178,42.9,0.371672404,1.02,0.72,0.379105853,0.267604131,Soft,Mud,0
AN1,101_1400,559168.6868,4104659.842,42.9,0.358909136,1.105,0.78,0.396594596,0.279949126,Soft,Mud,0
AN1,101_1400,559168.8141,4104659.523,42.9,0.343665441,1.02,0.72,0.35053875,0.247439118,Soft,Mud,0
AN1,101_1400,559168.9384,4104659.218,42.8,0.329764224,1.105,0.78,0.364389468,0.257216095,Soft,Mud,0
AN1,101_1400,559169.0571,4104658.924,42.9,0.317141838,1.02,0.72,0.323484675,0.228342123,Soft,Mud,0
AN1,101_1400,559169.1705,4104658.643,42.9,0.302271891,1.02,0.72,0.308317329,0.217635762,Soft,Mud,0
AN1,101_1400,559169.2788,4104658.38,43,0.285157669,1.105,0.78,0.315099225,0.222422982,Soft,Mud,0
AN1,101_1400,559169.3819,4104658.132,42.9,0.26834447,1.105,0.78,0.296520639,0.209308686,Soft,Mud,0
AN1,101_1400,559169.4799,4104657.897,43,0.25434742,1.105,0.78,0.281053899,0.198390987,Soft,Mud,0
AN1,101_1400,559169.575,4104657.674,43.2,0.242415344,1.19,0.84,0.288474259,0.203628889,Soft,Mud,0
AN1,101_1400,559169.6696,4104657.462,43.2,0.23258998,1.275,0.9,0.296552224,0.209330982,Soft,Mud,0
AN1,101_1400,559169.7664,4104657.254,43.3,0.229218136,1.19,0.84,0.272769581,0.192543234,Soft,Mud,0
AN1,101_1400,559169.8653,4104657.048,43.3,0.228373905,1.19,0.84,0.271764947,0.191834081,Soft,Mud,0
AN1,101_1400,559169.9665,4104656.842,43.3,0.23001818,1.19,0.84,0.273721634,0.193215271,Soft,Mud,0
AN1,101_1400,559170.0725,4104656.637,43.1,0.230682289,1.105,0.78,0.254903929,0.179932185,Soft,Mud,0
AN1,101_1400,559170.1858,4104656.436,43,0.230585184,1.275,0.9,0.29399611,0.207526666,Soft,Mud,0
AN1,101_1400,559170.3063,4104656.237,43,0.232825929,1.275,0.9,0.296853059,0.209543336,Soft,Mud,0
AN1,101_1400,559170.4336,4104656.036,42.9,0.23726886,1.275,0.9,0.302517797,0.213541974,Soft,Mud,0
AN1,101_1400,559170.5679,4104655.836,42.8,0.241579046,1.19,0.84,0.287479064,0.202926398,Soft,Mud,0
AN1,101_1400,559170.7093,4104655.635,42.7,0.245766072,1.19,0.84,0.292461626,0.2064435,Soft,Mud,0
AN1,101_1400,559170.8554,4104655.432,42.8,0.24992222,1.19,0.84,0.297407441,0.209934664,Soft,Mud,0
AN1,101_1400,559171.004,4104655.226,42.9,0.253951655,1.275,0.9,0.32378836,0.22855649,Soft,Mud,0
AN1,101_1400,559171.1526,4104655.02,43,0.253951655,1.36,0.96,0.34537425,0.243793589,Soft,Mud,0
AN1,101_1400,559171.3013,4104654.814,43,0.253951655,1.19,0.84,0.302202469,0.21331939,Soft,Mud,0
AN1,101_1400,559171.4499,4104654.608,43.2,0.253951655,1.275,0.9,0.32378836,0.228556489,Soft,Mud,0
AN1,101_1400,559171.6073,4104654.397,43.3,0.263364716,1.36,0.96,0.358176014,0.252830127,Soft,Mud,0
AN1,101_1400,559171.7773,4104654.179,43.4,0.276191509,1.36,0.96,0.375620452,0.265143848,Soft,Mud,0
AN1,101_1400,559171.9639,4104653.954,43.3,0.292571991,1.275,0.9,0.373029289,0.263314792,Soft,Mud,0
AN1,101_1400,559172.1668,4104653.721,43.2,0.308613416,1.36,0.96,0.419714246,0.29626888,Soft,Mud,0
AN1,101_1400,559172.3857,4104653.482,43.2,0.324290316,1.445,1.02,0.468599507,0.330776123,Soft,Mud,0
AN1,101_1400,559172.618,4104653.235,43,0.339294305,1.36,0.96,0.461440255,0.325722533,Soft,Mud,0
AN1,101_1400,559172.8611,4104652.978,42.9,0.353505428,1.19,0.84,0.420671459,0.296944559,Soft,Mud,0
AN1,101_1400,559173.115,4104652.712,42.7,0.367769117,1.36,0.96,0.500165999,0.353058352,Soft,Mud,0
AN1,101_1400,559173.3797,4104652.437,42.7,0.382084355,1.275,0.9,0.487157553,0.34387592,Soft,Mud,0
AN1,101_1400,559173.6549,4104652.152,42.7,0.396072685,1.275,0.9,0.504992674,0.356465417,Soft,Mud,0
AN1,101_1400,559173.9422,4104651.859,43,0.410356101,1.36,0.96,0.558084297,0.393941857,Soft,Mud,0
